Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U12,SN65LVDT2DBV,SOT-23-5,95.202900,-72.720500,180.000000,top
U13,SN65LVDT2DBV,SOT-23-5,95.212900,-68.570500,180.000000,top
U14,SN65LVDT2DBV,SOT-23-5,101.960700,-64.422500,180.000000,top
U15,SN65LVDT2DBV,SOT-23-5,101.970000,-60.282500,180.000000,top
U16,SN65LVDT2DBV,SOT-23-5,101.970000,-56.102500,180.000000,top
U17,SN65LVDT2DBV,SOT-23-5,101.970000,-51.932500,180.000000,top
U18,SN65LVDT2DBV,SOT-23-5,104.854600,-75.080000,180.000000,top
U19,SN65LVDT2DBV,SOT-23-5,104.836000,-79.761500,180.000000,top
U20,SN65LVDT2DBV,SOT-23-5,104.864400,-70.225500,180.000000,top
U21,SN65LVDT2DBV,SOT-23-5,105.137100,-92.196500,180.000000,top
U22,AMS1117-3.3,SOT-223-3_TabPin2,82.270600,-55.473200,90.000000,top
